序号,能耗成本,管道混合成本,罐底混合成本,切换次数,用罐个数
1,1099.84,185.0,187.0,23.0,11.0,
2,898.2,156.0,269.0,25.0,11.0,
3,1089.42,185.0,211.0,23.0,10.0,
4,816.96,325.0,410.0,30.0,11.0,
5,976.89,185.0,184.0,24.0,11.0,
6,821.78,296.0,384.0,30.0,10.0,
7,819.96,287.0,388.0,28.0,11.0,
8,822.77,270.0,354.0,29.0,11.0,
9,829.43,214.0,351.0,27.0,11.0,
10,856.17,186.0,328.0,25.0,10.0,
11,831.7,213.0,360.0,26.0,10.0,
12,837.96,212.0,331.0,27.0,11.0,
13,823.82,240.0,298.0,28.0,11.0,
14,1004.57,184.0,240.0,24.0,10.0,
15,842.53,185.0,237.0,27.0,11.0,
16,1072.3,185.0,264.0,23.0,10.0,
17,1057.53,156.0,238.0,24.0,11.0,
18,916.83,185.0,211.0,25.0,11.0,
19,1054.69,156.0,265.0,24.0,11.0,
20,864.29,184.0,294.0,25.0,10.0,
21,827.16,257.0,308.0,27.0,11.0,
22,826.42,213.0,300.0,29.0,11.0,
23,938.52,185.0,211.0,24.0,10.0,
24,975.68,184.0,293.0,24.0,11.0,
25,1083.67,185.0,192.0,23.0,11.0,
26,848.85,185.0,211.0,26.0,11.0,
27,975.68,184.0,293.0,24.0,11.0,
28,830.0,257.0,283.0,26.0,11.0,
29,887.08,184.0,220.0,25.0,11.0,
30,827.62,243.0,384.0,28.0,10.0,
31,1056.88,184.0,211.0,24.0,11.0,
32,928.26,213.0,291.0,24.0,11.0,
33,829.14,243.0,328.0,27.0,10.0,
34,831.9,229.0,243.0,27.0,11.0,
35,853.9,229.0,237.0,25.0,11.0,
36,827.48,243.0,323.0,27.0,11.0,
37,884.23,184.0,279.0,25.0,10.0,
38,991.47,184.0,274.0,24.0,10.0,
39,912.1,185.0,214.0,25.0,11.0,
40,991.47,184.0,274.0,24.0,10.0,
41,975.68,156.0,264.0,26.0,11.0,
42,887.08,184.0,245.0,25.0,10.0,
43,838.52,213.0,250.0,26.0,11.0,
44,861.85,185.0,296.0,25.0,10.0,
45,930.73,156.0,268.0,25.0,11.0,
46,842.0,185.0,254.0,26.0,11.0,
47,873.11,184.0,269.0,25.0,11.0,
48,912.1,185.0,214.0,25.0,11.0,
49,829.37,242.0,356.0,28.0,10.0,
50,850.1,213.0,245.0,25.0,10.0,
51,856.17,186.0,328.0,25.0,10.0,
52,835.03,240.0,243.0,26.0,11.0,
53,845.37,213.0,302.0,25.0,10.0,
54,853.36,185.0,243.0,25.0,11.0,
55,842.0,185.0,254.0,26.0,11.0,
56,1077.95,185.0,240.0,23.0,10.0,
57,1077.95,185.0,240.0,23.0,10.0,
58,832.27,213.0,279.0,26.0,11.0,
59,842.53,213.0,294.0,25.0,11.0,
60,831.7,213.0,324.0,26.0,11.0,
61,828.05,243.0,353.0,28.0,10.0,
62,848.29,185.0,213.0,26.0,11.0,
63,828.9,243.0,330.0,28.0,10.0,
64,1054.69,156.0,265.0,24.0,11.0,
65,838.02,213.0,267.0,26.0,11.0,
66,870.36,185.0,239.0,25.0,11.0,
67,867.47,185.0,272.0,25.0,10.0,
68,845.37,213.0,302.0,25.0,10.0,
69,870.36,185.0,239.0,25.0,11.0,
70,847.65,213.0,275.0,26.0,10.0,
71,845.37,213.0,240.0,25.0,11.0,
72,840.26,185.0,275.0,27.0,10.0,
73,842.0,185.0,277.0,26.0,10.0,
74,846.39,242.0,273.0,26.0,10.0,
75,832.27,213.0,301.0,26.0,10.0,
76,840.26,185.0,238.0,27.0,11.0,
77,834.01,213.0,270.0,27.0,11.0,
78,873.11,184.0,269.0,25.0,11.0,
79,842.0,185.0,277.0,26.0,10.0,
80,835.03,213.0,298.0,26.0,10.0,
81,867.47,185.0,272.0,25.0,10.0,
82,864.99,184.0,275.0,25.0,11.0,
83,846.48,213.0,301.0,25.0,10.0,
84,846.39,242.0,273.0,26.0,10.0,
85,834.01,213.0,270.0,27.0,11.0,
86,864.99,184.0,275.0,25.0,11.0,
87,1057.53,156.0,238.0,24.0,11.0,
88,827.48,243.0,323.0,27.0,11.0,
89,847.75,185.0,272.0,26.0,10.0,
90,831.7,213.0,324.0,26.0,11.0,
91,835.03,213.0,271.0,26.0,11.0,
92,835.03,213.0,271.0,26.0,11.0,
93,850.1,213.0,245.0,25.0,10.0,
94,848.85,185.0,211.0,26.0,11.0,
95,835.03,240.0,243.0,26.0,11.0,
96,853.36,185.0,243.0,25.0,11.0,
97,847.75,185.0,272.0,26.0,10.0,
98,827.62,243.0,384.0,28.0,10.0,
99,846.48,213.0,301.0,25.0,10.0,
100,856.17,186.0,328.0,25.0,10.0,
